Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4031, 7, 4031, 8, 4034, 4, 2.782298, 2.294775
51, 4031, 7, 4030, 9, 4034, 4, 2.782793, 1.872394
101, 4028, 10, 4028, 11, 4033, 5, 2.78301, 2.154474
151, 4027, 11, 4024, 15, 4032, 6, 2.779019, 4.416925
201, 4026, 12, 4019, 20, 4032, 6, 2.786864, 1.555093
251, 4025, 13, 4016, 23, 4030, 8, 2.78763, 1.582055
301, 4022, 16, 4013, 26, 4028, 10, 2.777658, 4.310057
351, 4019, 19, 4007, 32, 4026, 12, 2.781563, 2.758151
401, 4016, 22, 4001, 38, 4024, 14, 2.791668, 1.632686
451, 4013, 25, 3995, 44, 4023, 15, 2.77451, 4.643455
501, 4012, 26, 3994, 45, 4019, 19, 2.77576, 3.985543
551, 4008, 30, 3990, 49, 4017, 21, 2.781548, 2.768748
601, 4005, 33, 3987, 52, 4016, 22, 2.774743, 4.00642
651, 4003, 35, 3984, 55, 4015, 23, 2.795826, 1.689801
701, 4000, 38, 3979, 60, 4012, 26, 2.782351, 2.686881
751, 3994, 44, 3975, 64, 4010, 28, 2.78416, 2.535768
801, 3989, 49, 3972, 67, 4008, 30, 2.785823, 2.425724
851, 3983, 55, 3968, 71, 4007, 31, 2.798471, 1.791166
901, 3982, 56, 3963, 76, 4005, 33, 2.800196, 1.767496
951, 3981, 57, 3960, 79, 4000, 38, 2.8001, 1.811522
1001, 3979, 59, 3957, 82, 3997, 41, 2.800215, 1.842173
1051, 3975, 63, 3954, 85, 3995, 43, 2.78556, 2.522324
1101, 3973, 65, 3952, 87, 3990, 48, 2.799684, 1.921372
1151, 3971, 67, 3949, 90, 3987, 51, 2.800144, 1.930448
1201, 3964, 74, 3944, 95, 3984, 54, 2.7867, 2.500425
1251, 3957, 81, 3943, 96, 3982, 56, 2.790051, 2.361496
1301, 3950, 88, 3936, 103, 3980, 58, 2.770808, 3.511953
1351, 3942, 96, 3930, 109, 3976, 62, 2.793928, 2.269226
1401, 3934, 104, 3921, 118, 3975, 63, 2.805573, 1.956426
1451, 3931, 107, 3913, 126, 3968, 70, 2.807042, 1.964701
1501, 3923, 115, 3909, 130, 3963, 75, 2.796502, 2.26811
1551, 3915, 123, 3901, 138, 3957, 81, 2.807645, 2.020906
1601, 3911, 127, 3894, 145, 3955, 83, 2.810121, 1.992403
1651, 3909, 129, 3885, 154, 3950, 88, 2.766446, 3.455081
1701, 3902, 136, 3884, 155, 3945, 93, 2.767222, 3.385155
1751, 3897, 141, 3878, 161, 3936, 102, 2.796293, 2.371328
